Metric,F-Value,P-Value
CBO,1.9832729640968423,0.1595050816037952
WMC,1.739285496546666,0.1876753140908604
DIT,2.1106046064525072,0.14674483750423087
NOC,2.3060762303073576,0.12933582701134513
RFC,0.30122861773896215,0.5832941692351565
LCOM,0.7917112077249552,0.37389926093901604
LOC,0.3513952650725061,0.553522316452506
