Metric,F-Value,P-Value
CBO,1.0094426205042764,0.3153716119450237
WMC,0.6172304399664276,0.4323350124482297
DIT,0.08773181072296124,0.7671655607495887
NOC,0.36356474260648974,0.5467216673760795
RFC,0.8626617041631168,0.35330402487070445
LCOM,0.9875961716455233,0.3206621577170432
LOC,0.5200798263985218,0.47104011646292976
