commit_hash;modified;file_modified;CBO;WMC;DIT;NOC;RFC;LCOM;LOC
19a9d33b0;94;1;5.46;3.99;1.2;0.08;5.34;4.16;3573
6896110c5;312;1;5.54;4.15;1.19;0.08;5.38;4.88;3679
e79790556;799;31;5.48;4.01;1.21;0.08;5.33;4.22;3583
073418f72;70;2;5.47;4.81;1.22;0.1;6.47;5.67;3597
6fe11aa16;89;2;5.49;4.82;1.22;0.1;6.38;5.51;3647
f6af2dc15;364;41;5.49;4.76;1.23;0.09;6.43;5.68;3762
8fa3a3742;491;40;5.51;4.85;1.22;0.1;6.26;5.62;3578
5d7d73c31;326;3;5.41;4.9;1.24;0.09;6.46;5.63;3870
2a08d800b;41;3;5.41;4.74;1.22;0.09;6.4;5.64;3760
2d11791c6;861;21;5.31;4.78;1.26;0.09;5.87;4.1;3789
ea2249afe;432;17;5.41;4.72;1.23;0.09;6.37;5.65;3768
6eeb24901;362;16;5.41;4.74;1.22;0.09;6.4;5.64;3760
459da07f1;17;1;5.29;4.75;1.27;0.12;5.84;4.05;3846
7058a7674;50;1;5.29;4.75;1.27;0.12;5.84;4.05;3846
09c3b6249;239;13;5.32;4.77;1.27;0.12;5.94;4.09;3869
5dbb81fbd;113;5;5.27;4.74;1.27;0.12;5.81;4.05;3857
d3f83facd;230;11;5.29;4.75;1.27;0.12;5.84;4.05;3846
84c72a517;2;1;5.84;5.48;1.29;0.17;6.88;4.21;4579
a2701658d;2;1;5.84;5.48;1.29;0.17;6.88;4.21;4579
bf29c6110;99;2;5.89;5.51;1.28;0.16;6.95;4.2;4534
b86e1da5d;16;1;5.7;6;1.32;0.18;6.86;4.67;4982
b44e8ad04;12;2;5.7;6;1.32;0.18;6.86;4.67;4983
3a0d891f1;3;1;5.7;6;1.32;0.18;6.86;4.67;4983
31ee3c346;10;1;5.7;6;1.32;0.18;6.86;4.67;4981
3eae70842;74;1;5.7;6;1.32;0.18;6.86;4.67;4983
eea2afa29;74;1;5.7;6.01;1.32;0.18;6.88;4.59;4983
981ff6add;138;5;5.7;6;1.32;0.18;6.88;4.57;4977
88fcda319;78;5;5.7;6;1.32;0.18;6.86;4.67;4984
3e7b1f576;440;14;5.7;6;1.32;0.18;6.86;4.67;4984
f8d90bd50;51;3;5.69;5.99;1.32;0.18;6.86;4.63;4980
bf5f1cb7a;39;2;5.7;6;1.32;0.18;6.86;4.67;4984
53b46595d;22;2;5.7;6;1.32;0.18;6.86;4.67;4984
d429110e6;25;2;5.67;5.98;1.33;0.18;6.84;4.52;4986
22a56d02a;216;4;5.77;5.85;1.31;0.17;6.97;4.24;5000
11374c265;16;2;5.7;6.1;1.31;0.17;6.96;4.5;5039
089794cb4;16;2;5.7;6.1;1.31;0.17;6.96;4.5;5039
