hash,file,modlines
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Action1.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Action2.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Action3.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Func0.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Func1.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Func2.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Func3.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Func4.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Func5.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Func6.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Func7.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Func8.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Func9.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/FuncN.java,8 
787d8fc02,/RxJava/.../rx/util/functions/FunctionLanguageAdaptor.java,8 
787d8fc02,/RxJava/.../src/main/java/rx/util/functions/Functions.java,6 
787d8fc02,/RxJava/.../src/main/java/testing/PerformanceTest.java,251 
787d8fc02,/RxJava/.../main/java/testing/TestChainPerformance.java,86 
377e5bd91,/RxJava/.gitignore,3 
377e5bd91,/RxJava/language-adaptors/rxjava-clojure/build.gradle,3 
377e5bd91,/RxJava/language-adaptors/rxjava-groovy/build.gradle,3 
377e5bd91,/RxJava/language-adaptors/rxjava-jruby/build.gradle,3 
377e5bd91,/RxJava/language-adaptors/rxjava-scala/build.gradle,2 
377e5bd91,/RxJava/rxjava-core/build.gradle,2 
377e5bd91,/RxJava/rxjava-core/src/main/java/rx/observables/Observable.java,8 
031af80c3,/RxJava/language-adaptors/rxjava-clojure/build.gradle,2 
031af80c3,/RxJava/.../main/java/rx/lang/clojure/ClojureAdaptor.java,4 
031af80c3,/RxJava/language-adaptors/rxjava-groovy/build.gradle,2 
031af80c3,/RxJava/.../main/java/rx/lang/groovy/GroovyAdaptor.java,10 
031af80c3,/RxJava/.../src/main/java/rx/lang/jruby/JRubyAdaptor.java,10 
031af80c3,/RxJava/language-adaptors/rxjava-scala/build.gradle,6 
031af80c3,/RxJava/.../main/scala/rx/lang/scala/ScalaAdaptor.scala,2 
031af80c3,/RxJava/.../java/rx/{observables => }/Notification.java,41 
031af80c3,/RxJava/.../main/java/rx/{observables => }/Observable.java,229 
031af80c3,/RxJava/.../main/java/rx/{observables => }/Observer.java,2 
031af80c3,/RxJava/.../java/rx/{observables => }/Subscription.java,2 
031af80c3,/RxJava/.../operations/OperatorSubscribeFunction.java,25 
031af80c3,/RxJava/.../OperationCombineLatest.java,21 
031af80c3,/RxJava/.../operations => operators}/OperationConcat.java,124 
031af80c3,/RxJava/.../operations => operators}/OperationFilter.java,10 
031af80c3,/RxJava/.../operations => operators}/OperationLast.java,10 
031af80c3,/RxJava/.../operations => operators}/OperationMap.java,10 
031af80c3,/RxJava/.../OperationMaterialize.java,20 
031af80c3,/RxJava/.../operations => operators}/OperationMerge.java,57 
031af80c3,/RxJava/.../OperationMergeDelayError.java,65 
031af80c3,/RxJava/.../OperationOnErrorResumeNextViaFunction.java,18 
031af80c3,/RxJava/.../OperationOnErrorResumeNextViaObservable.java,18 
031af80c3,/RxJava/.../OperationOnErrorReturn.java,18 
031af80c3,/RxJava/.../operations => operators}/OperationScan.java,10 
031af80c3,/RxJava/.../operations => operators}/OperationSkip.java,10 
031af80c3,/RxJava/.../OperationSynchronize.java,24 
031af80c3,/RxJava/.../operations => operators}/OperationTake.java,20 
031af80c3,/RxJava/.../rx/operators/OperationToObservableFuture.java,96 
031af80c3,/RxJava/.../OperationToObservableIterable.java,10 
031af80c3,/RxJava/.../OperationToObservableList.java,10 
031af80c3,/RxJava/.../OperationToObservableSortedList.java,10 
031af80c3,/RxJava/.../operations => operators}/OperationZip.java,57 
031af80c3,/RxJava/.../operations => operators}/package.html,0
031af80c3,/RxJava/.../java/rx/{observables => }/package-info.java,2 
031af80c3,/RxJava/rxjava-core/src/main/java/rx/subjects/Subject.java,126 
031af80c3,/RxJava/.../java/rx/util/AtomicObservableSubscription.java,2 
031af80c3,/RxJava/.../src/main/java/rx/util/AtomicObserver.java,95 
031af80c3,/RxJava/.../java/rx/util/AtomicObserverMultiThreaded.java,844 
031af80c3,/RxJava/...ngleThreaded.java => SynchronizedObserver.java},42 
031af80c3,/RxJava/.../test/java/rx/performance/PerformanceTest.java,250 
031af80c3,/RxJava/.../java/rx/performance/TestChainPerformance.java,85 
031af80c3,/RxJava/rxjava-examples/build.gradle,2 
031af80c3,/RxJava/.../clojure/rx/examples/clojure/rx_examples.clj,262 
031af80c3,/RxJava/rxjava-examples/src/main/clojure/rx_examples.clj,8 
031af80c3,/RxJava/.../groovy/rx/examples/groovy/RxExamples.groovy,209 
031af80c3,/RxJava/.../groovy/rx/examples/groovy/VideoExample.groovy,231 
031af80c3,/RxJava/.../src/main/java/rx/examples/java/RxExamples.java,22 
3396f5ae1,/RxJava/rxjava-core/src/main/java/rx/Observable.java,8 
3396f5ae1,/RxJava/.../java/rx/operators/OperationCombineLatest.java,11 
3396f5ae1,/RxJava/.../main/java/rx/operators/OperationConcat.java,9 
3396f5ae1,/RxJava/.../java/rx/operators/OperationMaterialize.java,8 
3396f5ae1,/RxJava/.../src/main/java/rx/operators/OperationMerge.java,41 
3396f5ae1,/RxJava/.../rx/operators/OperationMergeDelayError.java,49 
3396f5ae1,/RxJava/.../OperationOnErrorResumeNextViaFunction.java,8 
3396f5ae1,/RxJava/.../OperationOnErrorResumeNextViaObservable.java,8 
3396f5ae1,/RxJava/.../java/rx/operators/OperationOnErrorReturn.java,8 
3396f5ae1,/RxJava/.../java/rx/operators/OperationSynchronize.java,8 
3396f5ae1,/RxJava/.../src/main/java/rx/operators/OperationTake.java,8 
