commit_hash;modified;file_modified;CBO;WMC;DIT;NOC;RFC;LCOM;LOC;Type1;Type2;Type3;Type4;Type5;Type
6e0a15499;158;19;3.96;1.83;1.13;0;0.83;0.35;143;1;0;0;0;0;Type1
9eb049791;25;1;3.96;1.83;1.13;0;0.83;0.35;143;1;0;0;0;0;Type1
787d8fc02;158;19;3.95;1.91;1.14;0;0.86;0.36;141;1;0;0;0;0;Type1
031af80c3;122;3;3.96;1.83;1.13;0;0.83;0.35;143;1;0;0;0;0;Type1
ee001549e;72;2;3.52;1.84;1.16;0.12;0.84;0.36;158;1;0;0;0;0;Type1
5d1847146;266;1;3.52;1.93;1.19;0.11;0.81;0.37;185;0;1;0;0;0;Type2
5abd62a2e;278;1;3.7;3.89;1.19;0.11;2.78;0.37;345;0;1;0;0;0;Type2
db9f9a60a;272;5;3.52;2.42;1.15;0.09;1.3;1.24;286;0;1;0;0;0;Type2
fb22a73a7;3;1;3.43;1.93;1.18;0.11;0.86;0.36;194;1;0;0;0;0;Type1
af383b5ad;123;2;3.48;1.93;1.21;0.1;0.83;0.38;202;1;0;0;0;0;Type1
b24b42f81;251;7;3.52;2.42;1.15;0.09;1.3;1.24;286;0;1;0;0;0;Type2
2b0b6845d;135;3;3.61;2.42;1.18;0.18;1.21;1.42;287;1;0;0;0;0;Type1
7a8b681f5;135;4;3.63;2.22;1.19;0.19;1.25;0.34;278;1;0;0;0;0;Type1
bf5df77b7;6;1;3.74;2.21;1.24;0.24;1.15;0.35;292;1;0;0;0;0;Type1
d8a3a8ff4;10;1;3.69;2.17;1.23;0.23;1.14;0.34;297;1;0;0;0;0;Type1
622d861ef;73;1;3.69;2.51;1.23;0.23;1.23;0.34;337;1;0;0;0;0;Type1
2ea065c0e;73;1;3.69;2.51;1.23;0.23;1.23;0.34;337;1;0;0;0;0;Type1
4d5962a85;14;5;3.69;2.51;1.23;0.23;1.23;0.34;337;1;0;0;0;0;Type1
b20b62c91;14;5;3.69;2.51;1.23;0.23;1.23;0.34;337;1;0;0;0;0;Type1
21201034b;68;3;3.63;2.31;1.31;0.17;1.06;0.37;315;1;0;0;0;0;Type1
abd66858b;78;4;3.63;2.31;1.31;0.17;1.06;0.37;315;1;0;0;0;0;Type1
dc12d5bb9;63;5;3.43;2.19;1.3;0.16;1;0.35;319;1;0;0;0;0;Type1
6886142c6;52;7;3.43;2.19;1.3;0.16;1;0.35;319;1;0;0;0;0;Type1
b80de9378;19;2;3.47;2.24;1.32;0.16;1;0.42;333;1;0;0;0;0;Type1
8c87c29be;166;3;3.88;2.33;1.3;0.15;0.98;0.35;367;1;0;0;0;0;Type1
2721eadf6;20;6;3.57;2.19;1.3;0.16;1;0.38;323;1;0;0;0;0;Type1
de66728dd;2;1;3.88;2.33;1.3;0.15;0.98;0.35;367;1;0;0;0;0;Type1
a127b061a;24;4;3.78;2.39;1.29;0.15;0.95;0.59;384;1;0;0;0;0;Type1
358557062;87;18;3.74;2.38;1.29;0.14;0.95;0.57;393;1;0;0;0;0;Type1
11fe816ff;50;1;4;2.52;1.29;0.14;0.95;0.57;411;1;0;0;0;0;Type1
bd383717e;40;1;3.95;2.51;1.28;0.14;0.95;0.56;420;1;0;0;0;0;Type1
636857802;40;1;3.93;2.5;1.27;0.14;1.14;0.57;437;1;0;0;0;0;Type1
284f79ad6;33;1;3.95;2.52;1.27;0.14;1.36;0.64;461;1;0;0;0;0;Type1
1a0fcdc97;57;1;3.98;2.53;1.28;0.14;1.19;0.63;444;1;0;0;0;0;Type1
5e7edd277;138;3;4.06;2.4;1.26;0.13;1.83;0.53;521;1;0;0;0;0;Type1
d92b15197;4;1;4.19;2.77;1.27;0.12;2.1;1.08;634;1;0;0;0;0;Type1
63ae2b19d;96;2;4.28;2.85;1.26;0.11;2.4;1.34;694;1;0;0;0;0;Type1
715dcece5;33;2;4.23;2.77;1.26;0.11;2.08;1.11;645;1;0;0;0;0;Type1
669c7b6bb;397;5;4.66;3.14;1.25;0.11;2.23;1.04;791;0;1;0;0;0;Type2
b032731cf;52;3;4.23;2.77;1.26;0.11;2.08;1.11;645;1;0;0;0;0;Type1
782909f7b;262;3;4.74;3.33;1.25;0.11;2.51;1.02;881;0;1;0;0;0;Type2
18eed1a94;19;1;4.78;3.11;1.26;0.11;2.2;1.07;731;1;0;0;0;0;Type1
a39f9f8a0;81;1;4.69;3.52;1.24;0.1;2.52;1;917;1;0;0;0;0;Type1
5417b596b;54;3;4.23;2.79;1.26;0.11;2.08;1.17;647;1;0;0;0;0;Type1
8acdaa156;36;2;4.69;3.92;1.17;0.07;5.48;2.43;1936;1;0;0;0;0;Type1
62564d664;34;1;4.69;3.99;1.17;0.07;5.56;2.4;2037;1;0;0;0;0;Type1
22885fa9f;49;1;4.71;3.99;1.17;0.07;5.57;2.4;2047;1;0;0;0;0;Type1
9a6f9cbb2;694;14;4.7;4.02;1.17;0.07;5.55;2.43;2030;0;0;0;1;0;Type4
7e43a6c40;143;2;4.84;4.35;1.21;0.09;5.76;3.07;2408;1;0;0;0;0;Type1
564fba0fb;86;1;4.84;4.25;1.22;0.09;5.52;2.42;2321;1;0;0;0;0;Type1
a17b59238;157;1;4.85;4.27;1.22;0.09;5.64;2.39;2413;1;0;0;0;0;Type1
e1a4d0261;40;2;4.99;4.15;1.2;0.08;5.61;2.8;2548;1;0;0;0;0;Type1
ba1d44853;111;12;5.19;4.24;1.2;0.08;5.91;2.88;2556;1;0;0;0;0;Type1
3ec9ef3e6;161;2;5.14;4.21;1.27;0.08;5.82;3.57;2757;1;0;0;0;0;Type1
04a9e05ee;162;1;5.14;4.27;1.27;0.08;5.95;3.71;2838;1;0;0;0;0;Type1
829f016a6;13;1;5.14;4.21;1.27;0.08;5.82;3.57;2757;1;0;0;0;0;Type1
a1191a217;93;1;5.15;4.21;1.27;0.08;5.76;3.55;2739;1;0;0;0;0;Type1
