112c875ad;Mairbek Khadikov;14/02/2013;Used mockito's inOrder to verify ordering instead of hand-written stub;1;4;35
4880e34a4;Ben Christensen;15/02/2013;mark the thread as interrupted again;1;4;0
a7309793a;Mairbek Khadikov;19/02/2013;Tests for TakeUntil;1;58;0
457b6a6d3;Mairbek Khadikov;19/02/2013;Basic takeUntil implementation;2;104;0
9bce3cdf6;Mairbek Khadikov;19/02/2013;Cleaned up copy-paste in merge code;1;2;26
73fec0225;Mairbek Khadikov;27/02/2013;Implemented single and singleOrDefault methods;2;228;0
1292a9a07;Mairbek Khadikov;27/02/2013;Static method plus javadoc;1;17;2
c10df109f;Mairbek Khadikov;27/02/2013;Implemented toIterable method;2;148;8
5ef9e4a56;Mairbek Khadikov;28/02/2013;Implemented lastOrDefault;1;136;0
3cfc1567b;Mairbek Khadikov;28/02/2013;Updated single/singleOrDefault according to review request;1;36;15
df66270b2;Ben Christensen;01/03/2013;don't throw exception on iterator.hasNext();1;37;5
4f8778eac;Ben Christensen;01/03/2013;Add unit test testNoBufferingOrBlockingOfSequence;1;93;14
d624e9648;Mairbek Khadikov;01/03/2013;Fixed bug in ranges;1;16;1
57fd56800;Mairbek Khadikov;01/03/2013;Renamed variable;1;3;3
fde141675;Mairbek Khadikov;01/03/2013;Updated Observable API;1;21;0
d72c58927;Mairbek Khadikov;01/03/2013;Implemented Operation Next;1;267;0
be7d6a704;Mairbek Khadikov;04/03/2013;Implemented GetIterator operation;1;27;8
6955a31e3;Mairbek Khadikov;04/03/2013;Updated Observable API;1;24;21
c93354d1f;Mairbek Khadikov;04/03/2013;Unit tests for MostRecent Operator;1;83;1
f08afca19;Mairbek Khadikov;04/03/2013;Basic MostRecent implementation;1;118;0
a1c62dd3e;Mairbek Khadikov;04/03/2013;Reimplemented Last operation;3;84;113
775712d06;Mairbek Khadikov;04/03/2013;Refactored TakeUntil operator;2;282;103
b9e9fe0a8;Mairbek Khadikov;05/03/2013;Implemented Defer Operation;2;120;30
e20a8cf0f;prabirshrestha;09/03/2013;optimize imports;1;0;4
d538d6f16;prabirshrestha;09/03/2013;updated dematerialize unit tests to use mockit;1;16;44
bbe32e2db;prabirshrestha;09/03/2013;unit test for OperationDematerialize;1;65;1
e3b8f8681;prabirshrestha;09/03/2013;added dematerialize api to observable;1;23;0
a2f7c282f;prabirshrestha;09/03/2013;implemented OperationDematerialize;1;81;0
84d1ed91b;Ben Christensen;11/03/2013;Set unsubscribed true;1;1;1
0b6261aa5;Ben Christensen;11/03/2013;Subscriptions utility class and rx.subscriptions package;11;110;67
5b8d48f94;Ben Christensen;11/03/2013;Cleanup various compiler warnings.;5;21;6
4103d4265;Ben Christensen;11/03/2013;making sequenceEqual private methods public;1;2;2
041eaebed;Ben Christensen;11/03/2013;bulk import organize and code formatting;13;413;240
571a9708a;Ben Christensen;11/03/2013;Move GroupedObservable to rx.observables;3;7;3
5d1847146;Ben Christensen;11/03/2013;Refactor to eliminate need of delegate methods for GroupedObservable;3;23;255
5abd62a2e;Mairbek Khadikov;11/03/2013;Removed static methods delegations;1;0;294
db4ecd554;Ben Christensen;11/03/2013;Refactored Iterator implementation out of Observable into OperatorToIterator;2;136;57
8306b5fa1;Mairbek Khadikov;11/03/2013;copyright update;1;15;0
4353bf812;Mairbek Khadikov;11/03/2013;Updated Observable API;2;64;22
b09a5cbd3;Mairbek Khadikov;11/03/2013;Concurrency improvements;1;36;22
bfa27350d;Mairbek Khadikov;11/03/2013;Draft group by implementation;4;720;0
e1de8c544;Mairbek Khadikov;11/03/2013;Cleaned up comment;1;0;1
3bed0b434;Mairbek Khadikov;11/03/2013;Refactored TakeUntil to use TakeWhile.;3;77;140
1b2669df6;Mairbek Khadikov;11/03/2013;Updated logic to match Rx.NET;1;20;10
53ce8d3ce;Ben Christensen;12/03/2013;more thorough error handling in case Func1 implementation itself fails;1;53;11
879a04cdc;Ben Christensen;12/03/2013;gracefully handle null subscription on trusted onSubscribe the same as non-trusted already does;1;8;1
538547b82;Ben Christensen;12/03/2013;Subscriptions cleanup;1;5;5
52cef1421;Ben Christensen;12/03/2013;Confusing Javadoc for `toObservable(Future)` methods;1;4;2
141a9f810;prabirshrestha;13/03/2013;added where operation to Observable;1;31;0
615258822;prabirshrestha;13/03/2013;implemented OperationWhere;1;61;0
cda38eaf1;prabirshrestha;13/03/2013;updates dematerialize so can chain correctly;1;15;2
dfc784126;Mairbek Khadikov;14/03/2013;Naive schedulers implementation;13;513;26
2672b74cd;thegeez;17/03/2013;Call complete on take/takeWhile observables once the predicate is true.;1;1;0
d172fd90a;thegeez;17/03/2013;Failing test case to show bug in takeWhile;1;32;1
232612c80;Adam Bliss;17/03/2013;Incoporate review suggestions.;1;23;32
e85831573;Adam Bliss;17/03/2013;Added nonstatic Observable.finally0;1;11;0
64a02a639;Adam Bliss;17/03/2013;Missing import;1;1;0
e517f5583;Adam Bliss;17/03/2013;Add finally0 to Observable.java .;2;22;14
6c383cf76;Adam Bliss;17/03/2013;New operation Finally (issue #43);1;145;0
2d1c45da5;Mairbek Khadikov;18/03/2013;Some documentation;2;28;1
df09fcb6a;Mairbek Khadikov;18/03/2013;ObserveOn/SubscribeOn unit tests;5;129;8
86a750c76;Mairbek Khadikov;18/03/2013;Headers;12;180;0
9eb111e1c;Mairbek Khadikov;18/03/2013;More tests;4;123;22
1896da37a;Mairbek Khadikov;18/03/2013;Added to Schedulers;1;5;0
0aa6ca2f4;Mairbek Khadikov;18/03/2013;Added ScheduledExecutorServiceScheduler;1;34;0
effc08d54;Ben Christensen;19/03/2013;Synchronize Observer on OperationMerge;1;79;1
414dbc410;thegeez;19/03/2013;Whitespace;1;1;1
81ee35dcf;Mairbek Khadikov;19/03/2013;Extracted ScheduledObserver as a separate class;2;5;44
eaa031623;Mairbek Khadikov;19/03/2013;renamed tests;2;2;2
db9f9a60a;Mairbek Khadikov;19/03/2013;Documenting code;4;44;14
fb555df33;Ben Christensen;20/03/2013;Synchronization of Merge operator (fixes);1;10;7
5191c3068;Mairbek Khadikov;21/03/2013;Updated Observable API;1;48;0
f1399e63a;Mairbek Khadikov;21/03/2013;Implemented all operation;1;141;0
f81c0aca8;Adam Bliss;22/03/2013;Reimplementation of Concat, improved handling of Observable<Observable<T>>.;1;122;87
c21c1e7c4;thegeez;24/03/2013;Fix for Observable.toList failing with multiple subscribers;1;1;1
5f77a31a1;thegeez;24/03/2013;Failing test case to show Observable.toList breaks with multiple observers due to sharing of the buffer list;1;23;0
1fabd4252;Joachim Hofer;25/03/2013;An attempt at implementing the correct combineLatest semantics. The tests do pass again now (they had to be adapted too).;1;44;59
bc0a08968;Joachim Hofer;25/03/2013;made 'next' more typesafe;1;3;3
72d9872ff;Joachim Hofer;25/03/2013;updated a test and added another one, trying to get the expected behavior right;1;40;1
fb22a73a7;John Myers;27/03/2013;Add tests to demonstrate bugs;1;12;0
256e083db;Ben Christensen;27/03/2013;Remove use of JSR 305 and dependency on com.google.code.findbugs;3;7;12
420ac77b6;Joachim Hofer;27/03/2013;Whoops, generics not allowed in ;1;2;2
e449fb139;Joachim Hofer;27/03/2013;Fixed javadoc and comments, cleaned up a bit, and tried to fix synchronization.;1;82;57
550005cf2;John Myers;28/03/2013;Fix violations of the Observer contract.;1;23;9
b2697cb45;John Myers;28/03/2013;Implement TrustedObservableTester.assertTrustedObservable();1;253;0
4919472dd;John Myers;28/03/2013;Split Take and TakeWhile;3;349;137
6c1a1abe0;John Myers;29/03/2013;take(0) subscribes to its source;1;40;1
8e179a1df;Adam Bliss;29/03/2013;Incorporate review feedback.;1;253;85
be560b58d;Adam Bliss;29/03/2013;Incorporate review suggestions.;2;19;27
0d420d7a1;John Myers;30/03/2013;Add unit tests to PublishSubject;1;181;0
acfe92f43;John Myers;30/03/2013;Beef up UnsubscribeTester some more;1;23;8
cce874510;John Myers;30/03/2013;Beef up UnsubscribeTester;2;81;44
12954a698;John Myers;30/03/2013;Extract UnsubscribeTester to top level;2;110;103
62c29d2c6;John Myers;30/03/2013;Implement RepeatSubject;1;404;0
63cef64fa;Ben Christensen;30/03/2013;Small reorganization of code for OperationTake and TrustedObservableTester;2;65;65
5b9bca978;John Myers;30/03/2013;Introduce Subject as analogue to RX ISubject;2;19;1
4cb4fed51;John Myers;30/03/2013;Rename Subject to PublishSubject;2;20;15
4a9f2fb05;John Myers;31/03/2013;TakeWhile protect calls to predicate;1;38;1
af383b5ad;John Myers;31/03/2013;Resolve merge conflicts;2;15;14
169e7e06e;Ben Christensen;01/04/2013;Trying to fix non-deterministic test;1;11;0
924ce5c05;Ben Christensen;01/04/2013;"Restrict identification of internal"" operators to only the rx.operators package""";1;7;7
c6c544957;Ben Christensen;01/04/2013;Protect subscribe/forEach implementations against user provided function failures;1;110;9
38e9e3fbf;Ben Christensen;01/04/2013;Improve error handling of user provided Observers;5;284;90
bd3265961;Mairbek Khadikov;02/04/2013;Simplified ImmediateScheduler;1;1;3
61e6eb97e;Billy Yuen;03/04/2013;1.  Update javadoc on subscribe() blocking if observables are running on the same thread. 2.  Add test case with infinity observable. 3.  Add test case to unsubscribe() with all observables running in different thread (non-blocking).;1;159;57
54c1dfd9d;Ben Christensen;04/04/2013;Scheduler overloads for Subscribe, ToObservable, From, Merge, Empty;2;398;4
57875b052;Ben Christensen;04/04/2013;Basic unit tests;1;77;0
7c6a14d2e;Ben Christensen;04/04/2013;Tweaks to Executor/ExecutorScheduler/IOScheduler and Javadocs;8;146;39
a8292de50;Ben Christensen;04/04/2013;Make ForwardingScheduler Internal;5;56;70
a6ccf5af3;Ben Christensen;04/04/2013;Consolidating ExecutorScheduler and ScheduledExecutorScheduler;3;39;59
a78d7563e;Ben Christensen;04/04/2013;Formatting to match codebase;11;49;48
