b97b9085c7;Svata Dedic;17/05/2017;Precheck needs resolved phase;2;2;0
78d3348b39;Tomas Zezula;18/05/2017;#270680:Tens of new parsers are created for Java editor;1;5;2
51e7bce845;Tomas Zezula;18/05/2017;#270676:InvalidSourcePath exception while scanning Jenkins project with open file;2;27;2
d73c4e7313;Tomas Zezula;18/05/2017;#270674:NPE from PersistentClassIndex due to null value from PCI.getRoot();1;124;140
e64d46b285;Svata Dedic;18/05/2017;#270172: attempt to maintain caret position after autofolding;2;81;15
4a0b20bfa4;Junichi Yamamoto;19/05/2017;#262141 - [PHP7] Context sensitive lexer & Uniform variable syntax;35;46278;41563
1cb897c105;Tomas Zezula;19/05/2017;Fixed another test.;2;10;6
4c482e781b;Tomas Zezula;19/05/2017;Fixed some unit tests broken by recent changes.;1;26;0
1f2c194637;Tomas Zezula;19/05/2017;HotFix for missing -Xmodule;1;5;0
427adab510;Tomas Hurka;23/05/2017;performance improvement in InstancesIterator - reuse ClassDump instance in getInstanceByOffset();2;8;4
786666b4ad;Junichi Yamamoto;25/05/2017;#249508 - In a function, foreach with list($a) warns about uninitialized $a;2;6;0
e50765ce0f;Junichi Yamamoto;25/05/2017;"#268497 - Keyword instanceof"" is not colored correctly in 8.2""";1;3;1
d3c1b06ef4;Tomas Zezula;26/05/2017;Replacement for removed -Xmodule;7;36;33
60a390a720;Dusan Balek;26/05/2017;Issue #270360 - Move class to type refactoring leaves old package declaration - fixed.;1;2;1
5e3a6002bb;Dusan Balek;26/05/2017;Labels should be displayed for unresolvable links.;1;1;1
46659afee1;Svata Dedic;29/05/2017;#270533: plugins can identify appropriate Mode for newly opened TopComponents;2;78;0
53a590d70d;Tomas Hurka;01/06/2017;OQL function rootDistance(jobject) added;1;13;0
f6c6419c99;Tomas Hurka;01/06/2017;use new Heap.getAllInstancesIterator() in Snapshot.getInstances(JavaClass, boolean);1;4;0
97264d2545;Junichi Yamamoto;14/06/2017;#270733 - Constructors for user defined Exception are not shown in a CC list;3;101;5
02e14898ef;Junichi Yamamoto;16/06/2017;#269903 - NullPointerException at org.netbeans.modules.php.smarty.editor.parser.TplParser.parse;1;4;0
70438dba79;Junichi Yamamoto;16/06/2017;#268541 - If else formating;2;29;0
e29c5d6867;Arusinha;18/06/2017;#240529: Fixing folding of empty {};2;15;2
2334131acf;Junichi Yamamoto;19/06/2017;#270903 - Wrong formatting for method/function parameters when the wrapping always option is set;3;52;3
f39fecb353;Tomas Zezula;19/06/2017;Ability for project to require NetBeans module installation.;3;455;1
c5e3cf4e5f;Svata Dedic;23/06/2017;#268895: fixed broken behaviour for generic return types;1;2;2
6ade83e7ec;Svata Dedic;23/06/2017;#270670: removed special case, field group are processed in doAccept.;1;2;6
6febd66cb5;Arusinha;29/06/2017;#268488 : Fixing formatting for bower.json and package.json files;2;73;1
1f4f03ae3e;Svata Dedic;30/06/2017;#270953: introduce method must scan the whole method for local variable accesses, not just the lambda;2;9;2
bff41e28d3;Svata Dedic;30/06/2017;#270831: quoted possible spaces in agent specification / other arguments generated by JShell;4;42;12
f1d739b1e2;Junichi Yamamoto;01/07/2017;#243203 - Nested calls broken since 7.2;3;64;16
f549321ee5;Junichi Yamamoto;06/07/2017;#270987 - Code Analysis not working with current Version of phpcs and php-cs-fixer;12;488;82
4b905a8f70;Junichi Yamamoto;10/07/2017;#271062 - AssertionError: WHITESPACE;2;12;1
f6ba46234b;Tomas Hurka;10/07/2017;release all native screen resources used by window;1;2;0
cb1286dc23;Reema;17/07/2017;#233298:  Goto Declaration doesn't navigate to the right declaration;3;159;4
490afa30fe;Tomas Zezula;21/07/2017;271137:Deadlock in APTUtil + Classpath;1;71;55
269403cf09;Dusan Balek;21/07/2017;Issue #268113 - IndexOutOfBoundsException - fixed.;1;4;6
490e60043d;Dusan Balek;21/07/2017;Issue #270745 - NullPointerException at org.netbeans.api.editor.caret.EditorCaret.maybeSaveCaretOffset - fixed.;1;5;3
729fb36e5c;Svata Dedic;21/07/2017;#271065: inlined code uses correct instance even when the class is same. Improved symbol accessibility detection;3;95;9
16137bf6bf;Svata Dedic;21/07/2017;#270831: keep document open while the shell is being initialized;1;23;10
fafd7f08cd;Tomas Zezula;28/07/2017;Improved API of SourceModificationEvent.Composite.;2;63;27
775dafe1d2;Tomas Zezula;28/07/2017;Fixed broken incremental reparse.;3;70;13
6f3700e9ea;Svata Dedic;28/07/2017;#270816: panel must listen on name validator support for OK enablement;1;1;0
fe7782b50d;Svata Dedic;28/07/2017;[NETBEANS-44] Only ignore JShell TL classes. Members are defined by user and should be visible in completion;1;2;1
8ec0b5b519;Junichi Yamamoto;03/08/2017;#271109 - Bogus syntax error on ((string)$this->foo)[0];19;29347;28667
